カテゴリー,技術名,概要,レベル1［業務理解と業務補助］,レベル2［補助付きでの業務リード］,レベル3［業務リード］,レベル4［業務自体の進展と他者育成］,レベル5［業界の推進と新価値創造］
ビジネス戦略,経営戦略策定・実行支援,顧客の経営活動の総体を捉え、デザインを活用した成長戦略を立案し、実行を支援する力。人・価値・お金・情報・データ・技術・物の流れをつかみ、あらゆるステークホルダーと協働し、顧客企業組織の持続的な発展に寄与できる。,経営活動の概要を理解し、何が問題であるかを理解できる。PLやBSなどの会計・財務に関する基本的理解があり、バリューチェーンやサプライチェーンなど、企業活動を把握し対応するための一般論的な枠組みを理解している。,顧客の経営課題を捉え、スーパーバイザーと相談しながら提案書をまとめることができる。デザインとビジネス双方の論点をつなげ、生産的な会話を進めることができる。,独力でプロジェクトプランを示すことができる。顧客経営者に伴走し成果を上げられる。中長期の経営観点から、事業ポートフォリオの総体を視野に入れた仮説構築や提案を行える。事業開発・組織開発・マーケティング・ブランディングなど自社内の各プロジェクト責任者と連携し、成果を最大化できる。,経営支援の成功例を複数生み出している。実践を通して、自社のソリューション（事業開発支援・組織開発支援・マーケティング・PR支援・ブランディング支援など）を横断的に更新し、自社の価値創造の発展に貢献することができる。,デザインを経営に生かす新しい知見を創出し、業界を推進することができる。企業組織がどうあるべきかを社会・産業界に提言し、デザイン業界を超えた影響力を発揮する。
ビジネス戦略,事業開発支援,社会変化の動向を踏まえ、環境価値、社会価値、経済価値を実現するためのビジネス要件をプロジェクトゴールに落としこみ、事業開発に向けた力強い方針を示す力。顧客にとって有益な改善・革新の活動をデザインの立場から支援することができる。事業検討の諸要素（業務オペレーション設計、価格設計など）に対して、実行力をもった支援を継続的に行うことができる。加えて、顧客だけでなく「市場」に対して新しい価値の提案を行うためのコンピタンスをもつ。,顧客のビジネスモデルを理解し、事業について何が問題かをおおよそスムーズに理解することができる。一般的な事業開発の悩みやよくある課題を理解している。,顧客のビジネス課題を理解し、スーパーバイザーと相談しながら提案書をまとめることができる。各種情報や調査結果などから、事業の成功要因や成長課題に関する自分なりの仮説を提示することができる。,独力で顧客のビジネス課題を解決する効果的なプロジェクトプランを示すことができる。顧客責任者の良い議論相手となれる。顧客責任者からのビジネス課題に関する質問に即時回答ができる。,自社のケーパビリティにとどまらない事業戦略提案ができ、実行までのプロセスを示し、継続的に実行・伴走できる。顧客企業を取り巻く社会変化の動向を踏まえた業界課題について高いレベルで議論ができる知見をもつ。顧客マネジメント層の信頼を得られる。,社会・市場の変化を捉え、価値ある先見的なビジネスモデルを示し、具体的な実行プランに落とし込み継続的な実行支援ができる。単発の事業開発支援にとどまらないイノベーション・マネジメント視点で顧客を長期的成功に導く伴走ができる。加えて、そのようなビジネスに対する先見的インサイトを社内外に発信し業界での影響力をもつ。
ビジネス戦略,組織開発支援,顧客企業組織に対するチェンジマネジメントを支援できる力。ビジョン設定、業務オペレーション、デザインオペレーション、人材開発、組織設計等の組織上の論点に対して、包括的・長期的視点から具体的なアクションを設計し実行を支援する。社会・経営・事業・業務・最終顧客（生活者）など、複数の視座から、最適な組織の在り方を構想し、実現に向けて活動を推進するコンピタンスを有する。,組織開発に関する主要な論点（ビジョン設定、業務オペレーション、デザインオペレーション、人材開発、組織設計等）に対して基本的理解ができている。人材教育プログラムの実施を支援できる。上長やプロジェクト責任者の補助のもと、タスク実行を問題なく行える。,プロジェクトプラン策定のベーシックなプロセスが理解できており、顧客の組織課題を理解し、自分なりの解決策を言語化することができる。スーパーバイザーと相談しながら提案書をまとめることができる。スーパーバイザーの指示のもと適切な教育プログラムを設計することができる。,独力で顧客の組織課題を解決する効果的なプロジェクトプランを示すことができる。企業組織戦略と人材課題をひも付け、中長期の解決ロードマップを描くことができる。顧客責任者の良い議論相手となれる。顧客責任者からの組織課題に関する質問に即時回答ができる。,顧客の当座の課題のみならず、因果関係のある潜在的な諸課題の解決に向けて、発展的に業務を拡張することができる。顧客の「全社」組織的な視野や、社会的な視野で変革プランを立て、実行することができる。顧客のバリューチェーン全体での改善課題を特定し、変革実行を支援することができる。顧客マネジメント層の参謀として長期支援ができる。,デザイン業界のみならず、広く社会・産業界に向けて、組織や人材に関する新しい知識を創造できる。それにより、社会の創造性を高めるための影響力を発揮する。
ビジネス戦略,マーケティング・PR支援,商品・サービスの興味喚起から購買・継続・紹介等に至るカスタマーサクセスのプロセスを計画し、成果創出のための戦略を立案することができる。各種ITソリューションや情報メディアを活用・実装した上で、成果指標達成に向け継続的に顧客に伴走することができる。顧客の優位性を構築・維持するために、ステークホルダー（生活者・従業員・求職者・株主等）とのコミュニケーション方針やPR（パブリック・リレーション）方針を策定し、成果を上げられる。,提示された問題・課題が理解でき、業務を補助することができる。自社のケーパビリティや提供ソリューションを、顧客の問題・課題に即した形に言語化することができる。プロジェクト責任者の指示のもと、部分的な業務を実行することができる。,一般的なマーケティング戦略のセオリーを理解しており、顧客の顕在・潜在的な問題を論点化・整理することができる。デジタルマーケティングに関する最新知識を有しており、必要なツールやソリューションを提案することができる。必要な調査を企画・実行することができ、プロジェクト責任者を補佐することができる。,マーケティング・PRに関するプロジェクトを顧客に提案したり、実行指揮を執ることができる。必要な成果に向けて指標を設定し、アナログ・デジタルを問わず投資効果に合った最適なメディア活用を提言できる。インサイドセールスのプロセスを設計することができる。マーケティング・PRに関するアウトプットの方針を立て、制作物のディレクションを行うことができる。,自社のケーパビリティを最大限に発揮できるような、マーケティング・PRに関するソリューション（自社独自のプロセスやフレームワーク等）を構想し、成果をもたらすことができる。マーケティング・PR分野に関して、他者（社内外）を積極的に育成し、技術向上に貢献できる。,マーケティング・PRに関する顧客企業の中期計画を立案でき、事業部長および経営者レベルと継続的に伴走することができる。マーケティング・PRの視座から顧客企業の組織をどう変革するかを提言できる。マーケティング・PRに関する広く普遍的なプロセスやフレームワークを業界に向け提言し、自社のプレゼンスを向上させることができる。
ビジネス戦略,ブランディング支援,顧客のステークホルダーの「認知」をデザインし、顧客に優位性をもたらす力。コミュニケーションメディアの具体化だけにとどまらず、社会、企業、事業、商品・サービスなど複数の視座から「企業のビジョン、パーパスはどうあるべきか」「どのような認知が優位性を生み出すか」「認知を強化するUXは何か」「優位な認知を届けるための組織行動やしくみは何か」「どのような成果指標を設ければ組織行動が最適化されるか」を企画し、優位性を実現することができる。,提示された問題・課題が理解でき、業務を補助することができる。自社のケーパビリティや提供しているソリューションを、顧客の問題・課題に即した形に言語化することができる。プロジェクト責任者の指示のもと、部分的な業務を実行することができる。,一般的なブランド戦略に関する知識を有しており、顧客に説明することができる。顧客の顕在・潜在的な問題を、ブランドの観点から論点化・整理することができる。調査やワークショップを企画・実行することができ、プロジェクト責任者を補佐することができる。,ブランディングに関するプロジェクトを顧客に提案したり、実行指揮を執ることができる。成果に向けて指標を設定し、最適なUXやその中でのメディア活用（アナログ・デジタル問わず）を提言できる。アウトプットの方針を立て、制作物のディレクションを行うことができる。,顧客が抱える企業ブランド、事業ブランド、商品・サービスブランドを、戦略的に統合管理する方法を立案し、実現に向けて伴走することができる。一貫性のある認知・体験を与えるためのしくみ（デザインシステムやブランドガイドライン）の整備にも貢献できる。顧客経営者と企業ビジョンやパーパスを構想し、組織内の自分ごと化を促進する活動を行える。,デザイン経営の視点から、ブランド構築に向けた中長期的な施策やその投資効果について、顧客経営者に提言し実行を補佐することができる。ブランディングに関して社会的に注目される事例を生み出すことができる。ブランディングに関する広く普遍的なプロセスやフレームワークを業界に向け提言し、自社のプレゼンスを向上させることができる。
ビジネス戦略,ウェブガバナンス構築支援,経営・事業計画を踏まえ、顧客がもつ情報資産をさまざまなステークホルダーに向けて適切な情報として整理し、将来のあるべき情報群・サイト群として構想・設計する力。適切なガバナンスラインを見極め、エンタープライズアーキテクチャのフロント要件を理解し、業務・組織の見直しを含めた実行計画としてプロセス化し推進できる。リーガルリスクやシステム制約など、設計・推進にあたってウェブサイトに関連するさまざまな知識、知見を有している。,プロジェクト責任者の指示のもと、自身の担当する範囲でガバナンス策定に関連する与えられた業務を遂行することができる（調査実施、ドキュメンテーションなど）。,プロジェクト責任者監修のもと、自身の担当する範囲で、顧客の現状から、ウェブガバナンスの必要性、強度、範囲などを判断し、あるべきウェブガバナンスを検討し、有意な提案をまとめることができる。,顧客の現状から、自身の担当する範囲における、あるべきウェブガバナンスを検討し、独力で提案し案件化することができる。ウェブガバナンス策定プロジェクトを自身の専門性の範囲で推進することができる。,複数の国や地域を対象としたグローバルプロジェクトや、複数の事業・ブランド・部門のウェブガバナンス策定プロジェクトにおいて、自身の担当する範囲の業務について、計画・実施・推進を遂行できる。また、それらに関して他者育成の実績がある。,複数の国や地域を対象としたグローバルプロジェクトや、複数の事業・ブランド・部門のウェブガバナンス策定プロジェクトにおいて、自身の担当する範囲の業務について計画・実施・推進を、マルチベンダーをコントロールする立場で遂行できる。保有する知見により業界をリードしている。
ビジネス戦略,技術戦略立案,顧客の業務を機能要件・非機能要件に落とし込み、課題解決のためのシステムを構想・設計する力。プロジェクトに応じた技術選定・調達をし、実行計画を立案できる。開発案件におけるリスクポイントを理解し、適切な落としどころに向かえるようプロジェクトを支援する。技術資産・データ資産の横断的な利活用と企業課題を結び付け、実効性のある計画を立案することができる。,プロジェクト責任者の指示のもと、採用技術・導入サービスや開発方針の提案をサポートすることができる。（調査実施、ドキュメンテーションなど）,プロジェクト責任者の支援を受けながら、主体的に技術・システム面での提案方針を検討し、フィジビリティ・効果・コストなどに考慮した提案内容にまとめることができる。,立場や役割にとらわれず、自身の知見や経験を生かして技術・システム面からプロジェクトを支援する提案を行い、プロジェクト化することができる。,プロジェクト要件から技術・システムによる支援計画を立案し、プロジェクト全体の計画にシステムパートのプランを組み込み最適化することができる。採用技術・導入サービスに応じた内部・外部パートナーの最適な体制を構築することができる。当該技術に関して他者育成の実績がある。,技術・システムによりプロジェクト全体を支援することができる。プロジェクトプランを作成し、タスク設計・見積もりを含めた提案作業をリードすることができる。技術・システム面での支援によりプロジェクトと自社の価値を向上させることができる。技術視点で有意な知見を業界に提供している事実がある。
プロジェクト推進,プロジェクトプランニング,価値創造・問題解決のためのプロジェクトを計画し、プロセスの設計、タスクの設計、手法の選択、スケジュール作成、見積もり作成等ができる力。顧客にとっての最適なQCDを提示することができる。社内外に適切にネゴシエーションできる。必要な人的資源（社外メンバー含む）の見積もり、メンバーアサイン、状況に応じたチームビルディングを行える。,プロジェクト責任者からの指示方針をもとにプロジェクト設計の要件をチームで固めた上で、それを実現するために適切な形で情報を収集し、提案書に落とし込むことができる。リスク管理およびコンプライアンス遵守の観点をもち、契約に関する基礎的な知識をもっている。,プロジェクト責任者の支援のもと、顧客から提示された与件から目的達成のための要件を定義し、プロジェクトのプランニング（スコープ設計、タスク設計、手法選択、スケジュール作成、見積もり作成等）を行い、必要な人材のアサインができる。リスク管理およびコンプライアンス遵守の観点からプロジェクトに適切な契約形態を選択することができる。,顧客から提示された与件・要件の本質的な問題・課題を分析して、自社ケーパビリティやメソッドを生かし独力で要件を定義し、プロジェクトプランニングと社内外含む最適な体制構築をリードすることができる。リスク管理、コンプライアンス遵守に加え、知財活用等の観点からプロジェクトに最適な契約形態を選択することができる。,顧客から提示された与件・要件の本質的な問題・課題を社会および顧客の現況や周辺情報から分析し、幅広いプロジェクトを計画することができる。前例や経験にとらわれない柔軟なプロジェクトプランニングと体制構築ができ、当該技術に関して他者育成の実績がある。,顧客から提示された与件・要件の本質的な問題・課題を社会および顧客の現況や周辺情報から分析し、難度の高い大規模なプロジェクトを計画することができる。さらにその知見を社会に還元し、業界をリードする立場にある。
プロジェクト推進,プロジェクトリード,プロジェクトのあらゆる場面で、仮説を含めた最適解を自ら提示し、プロジェクトを前進させる力。社内外メンバー（顧客含む）にベクトルを示し、共創することができる。メンバーの動機付けを行い、ポジティブで創造的な文化をつくり出すことができる。,プロジェクトメンバーとして、プロジェクトの目的・与件・ゴール・プロセス・体制を理解できる。プロジェクト責任者に、プロジェクト品質を高めるための提案を行い、成果を上げることができる。,スーパーバイザーのレビューを受けながらプロジェクトの責任者として適切なアクションプランとゴールを示し、遂行ができ、成果を上げることができる。顧客とのミーティング等でプロジェクト前進に貢献する提言を行い、顧客を動かすことができる。,独力でプロジェクトのチームメンバーに前進するための具体的なアクションとプロジェクト全体像のゴールを示し、プロセスをリードして成果を上げることができる。顧客担当者から強い信頼を勝ち得ている。,プロジェクト遂行に必要な顧客組織人材を巻き込み、プロジェクトの成果をより広いレベルで波及させることができる（結果的により広いプロジェクトにつながる）。社内だけでなく顧客に対しても、強い推進力を有している。,プロジェクトリードとしての役割を他メンバーに委任した上で適切にプロジェクト状況を把握し、顧客も含めた複雑な組織力学の中で、ゴールに向かうためのモチベートや軌道修正支援を行うことができる。顧客マネジメント層に対しても、強い推進力・影響力を有している。
プロジェクト推進,プロジェクトマネジメント,プロジェクトの総合的な責任者となれる力。ビジネス要件からプロジェクト立案を行い、ゴールまでの推進・進行を指揮することができる。チーム全体の采配・指導だけでなく、発生する課題に対して適切な対処ができる。リスク管理（稼働・利益・タスク・スケジュール）と、クオリティ管理を実施できる。なお、レベル3までは社内や自社商流上で完結する、比較的低リスク・小中規模案件が該当。レベル4以降は自社商流にないベンダーのコントロールや複数プロジェクトを束ねるような高リスク大規模案件が該当する。,プロジェクト責任者のもと、プロジェクトマネジメントに必要なタスク遂行を問題なく行うことができる。プロジェクトマネジメントの実践に必要な原理や原則について概要レベルで理解できている。,スーパーバイザーのレビューのもと、プロジェクトゴールまでの計画を策定し、具体項目（タスク設計（WBS）・スケジュール作成・費用見積もり）に分解した上で、プロジェクトマネジメントの遂行ができる。,社内メンバーが中心のプロジェクトにおいて、独力でプロジェクトゴールまでの具体的な計画を策定し、タスク設計（WBS）・スケジュール作成・費用見積もりに分解し、プロジェクトマネジメントの遂行ができる。リスク管理とクオリティ管理を適切に実施できる。,社外リソースを含めた中・大規模なプロジェクトにて、プロジェクトゴールまでの計画を策定し、遂行できる。イレギュラーな事態に対して、適切なタスクの組み替え、体制変更などにより、柔軟にプロジェクトを再設計し、実施することができる。他のプロジェクトが模範とすべき成果を出すことができる。当該技術に関して他者育成の実績がある。,複雑なステークホルダーが関連する大規模プロジェクトのマネジメントを遂行できる。プロジェクトが大きな成果を出し、社内外で高く評価される。社外に登壇、情報発信するなど影響力をもつ。スーパーバイザーとして複数プロジェクトに参画し成果を上げることができる。
