カテゴリー,技術名,推定レベル(1-5),根拠プロジェクト,プロジェクト内レベル,Did（抜粋）,Result（抜粋）
クオリティ管理,デジタルプロダクトディレクション,4,株式会社OMYコーポレートサイトリニューアル,4,稼働100hで課題仮説→要件定義→IA→Next.js→CI/CDまでを1人でドライブし、Spec Driven + AIコーディングで設計と実装を同期。,CVRを2.1%→3.6%へ改善し、落ち込んでいた検索流入と問い合わせを即時リカバリー。
クオリティ管理,アートディレクション,4,株式会社スターミュージック・エンタテインメントCulture Deckデザイン,4,図解テンプレート・写真撮影・レイアウトを統合し、求職者の意思決定を想定した34ページのビジュアルシステムを設計。,カジュアル面談→選考移行率を2.7%→4.0%に改善し、Slidelandでおすすめスライドに選出。
クオリティ管理,テクニカルディレクション・クオリティ・技術管理,3,デザインシステム「Interstellar」構築,3,Figma TokensとJSONで色・タイポ・スペースをコード資産化し、WCAG準拠を自動検証できる運用を整備。,画面デザイン時間を4h→2hに半減、全104色でAA達成し実装QAの手戻りを大幅削減。
デザイン開発,エクスペリエンスデザイン,4,株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル,4,経営層・所属クリエイターへのヒアリングから行動パターンを再定義し、マイクロインタラクション付きプロトタイプで導線を検証。,平均セッション時間を1:17→2:43に伸ばし、直帰率と離脱率を同時に改善。
デザイン開発,UIデザイン,4,CRM（kintone）メール拡張機能開発,4,12画面の送信フローを再設計し、添付や差出人切替などミスの温床だった操作を視認性の高いUIパターンに統合。,送信ミス件数を月14件→4件に減らし、社員から体験改善の声が多数。
デザイン開発,エンジニアリング設計,3,株式会社OMYコーポレートサイトリニューアル,3,Next.js + Vercel + SendGrid構成を選定し、CI/CDと監視を含む公開フローを設計して1人でも安全にリリースできる状態を構築。,1ヶ月で安定稼働まで持ち込み、追加保守もリグレッションなく継続。
デザイン開発,ビジュアルデザイン,4,NEONMAFIA株式会社リブランディング,4,動画特化の印象を払拭するため、色・タイポ・実績サムネイルを再構築し“クリエイティブブティック”像を視覚化。,インフルエンサー活用力を強調したビジュアルにより、新しい価値提案をクライアントへ伝えやすくなった。
デザイン開発,情報設計,4,株式会社OMYコーポレートサイトリニューアル,4,SEOキーワードクラスタとBtoBファネルを基にナビゲーションとセクション順を再構成し、CTAまでの視線誘導を再設計。,検索順位とCVRを同時に改善し、リニューアル直後から問い合わせが増加。
デザイン開発,フロントエンド・バックエンド実装,3,株式会社OMYコーポレートサイトリニューアル,3,FigmaのSpecをもとにshadcn/uiとTailwindで実装し、SendGrid連携や動的OGPまで含む本番コードを一人で実装。,ゼロロールバックで公開し、以降の小改善も自走で回せる状態を確立。
デザイン開発,コンテンツデザイン,3,株式会社スターミュージック・エンタテインメントCulture Deckデザイン,3,6名の社員インタビューから価値観・制度・キャリア事例を抽出し、ストーリーボード化して資料構成を設計。,Wantedly記事と連動しエントリー→内定の事例が生まれ、情報非対称を解消。
デザイン開発,コンテンツマネジメント,2,ショート動画白書デザイン,2,半期ごとにテーマ策定→調査パートナー納品→編集→公開のワークフローをNotionで管理し、リリースカレンダーを維持。,"6冊累計3,000DLを継続的に獲得し、リード創出を途切れさせなかった。"
デザイン開発,進行管理,3,ショート動画白書デザイン,3,外部調査会社と社内デザイナー2名のタスクを分解し、Slack/Notionで並列進行をコントロール。,毎回3ヶ月以内にレポートを仕上げ、Googleの提案資料にも転載される品質を維持。
デザイン開発,ライティング,3,ショート動画白書デザイン,3,プレスリリース原稿とリード文を制作し、調査サマリーの要約・見出し・キャプションを統一トーンで整備。,公開初週で約5万Impを獲得し、業界インフルエンサーが資料を引用。
ビジネス戦略,ブランディング支援,4,株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル,4,社内外ヒアリングでブランド資産を棚卸し、ボイス&トーンやデザイントークンを定義して全タッチポイントを統一。,外部から“ブランドが洗練された”という評価が増え、サイトのEngagement KPIも改善。
ビジネス戦略,マーケティング・PR支援,4,ショート動画白書デザイン,4,テーマ選定→調査→資料→LP→PR文→メール配信まで一連のマーケティングファネルを設計。,"累計3,000DLとメディア露出を獲得し、リード育成施策の中核資料になった。"
ビジネス戦略,事業開発支援,3,デザインシステム「Interstellar」構築,3,プロダクト/コーポレート双方で使えるDesign Ops基盤を自発的に構築し、社内の制作プロセスを横断的に整備。,デザイン工数50%削減・コンポーネント再利用率80%を実現し、新規案件でも活用可能な社内ソリューション化に成功。
プロジェクト推進,プロジェクトプランニング,3,株式会社OMYコーポレートサイトリニューアル,3,調査・設計・実装・計測を4週間で完結させる逆算スケジュールと判断ポイントを定義し、並行作業を設計。,多案件と並行しながらも予定内で公開し、KPI改善まで計画通りに到達。
プロジェクト推進,プロジェクトリード,3,株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル,3,デザイナー・エンジニアの小チームへ役割を再配分し、週次レビューとデザインシステム共有で意思決定を高速化。,マイクロインタラクションまで品質を揃えた状態でローンチし、経営層承認も一発で通過。
プロジェクト推進,プロジェクトマネジメント,3,CRM（kintone）メール拡張機能開発,3,要件優先度・開発チケット・ユーザーテストを一元管理し、フィードバックサイクルを短期で回せる体制を構築。,2ヶ月でリリースし、社内問い合わせと操作ミスを70%以上削減。
リサーチ＆プロトタイピング,マーケティング＆デザインリサーチ,4,NEONMAFIA株式会社リブランディング,4,競合の提供価値・価格・導線をマッピングし、自社のインフルエンサー活用力を核にした新ポジションを定義。,“動画制作会社”という認知を“ブランド伴走型クリエイティブブティック”へ転換し、提案ストーリーを刷新。
リサーチ＆プロトタイピング,プロトタイピング,3,株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル,3,Figmaでマイクロインタラクションまで表現したハイファイプロトタイプを提示し、経営層の意思決定を支援。,ほぼ一発で承認が通り、デザインレビューの往復回数を大幅に削減。
関係管理,ドキュメンテーション,4,デザインシステム「Interstellar」構築,4,Figma/Notionでトークン・ガイドライン・利用手順を可視化し、デザイナーとエンジニアが同じ情報を参照できる運用ガイドを整備。,質問対応が減り、設計議論が本質的な課題に集中するようになった。
