名前,Actions,After,Artifacts,Before,Collaboration,KPI Metrics,NDA Safe,Outcome,Overview,Period,Problem (As-Is),Retrospective,Roles,Scope,Skills,Team Size,Tools/Technology,Type,Year
株式会社OMYコーポレートサイトリニューアル,"1. 与件ヒアリング、整理
2. 競合調査、リサーチ
3. 要件定義、サイト構成、技術選定、流入キーワード整理
4. デザインガイドライン定義
5. UIコンポーネントデザイン、Webデザイン
6. 開発手法検討
7. 開発
8. デプロイ、本番公開
9. CI/CD",3.6%,"https://omy.co.jp/
https://www.figma.com/design/HrhteFjpp3Sh0XORMLHtnZ/OMY-Web-Renew-Playground?node-id=0-1&t=NU1crSVAISiQu857-1",2.1%,,CVR,Yes,サイトパフォーマンス改善、検索順位向上、CV数増加、CVR改善,"所属企業の関連会社「株式会社OMY」のコーポレートサイトリニューアルのプロジェクト。
与件のヒアリング・要件定義から、SEO戦略の策定、競合調査、デザインガイドラインの定義、デザイン、AI活用してNext.JSでのサイト開発、デリバリーまですべてを一人で担当し、他のプロジェクトと並行しながら1ヶ月（稼働時間100h）の短納期で本番環境に公開まで完了した。",1ヶ月,前回リニューアルから期間があきサイト自体の老朽化。主要検索ワードでの順位が下がり流入とCVが減少。現在の事業とサイト情報の整合性が取れていなかった。,Web制作プロジェクトを最初から最後まで一人で完遂できたことが良かった点。また、Figma MCPを用いて自分がデザインした画面を正確にコードに落とし込むことができWeb制作におけるAIコーディングのワークフローの知見が溜まった。また今回はSpec Driven Dveropmentで開発を行えたことでAI開発の知見が深まった。,"PM, エンジニア, デザイナー, マーケティング, リサーチャー","CI/CD設計, SEO, Webデザイン, アクセシビリティ対応, ビジュアルデザイン, フロントエンド開発, 情報設計, 要件定義","AI活用, IA設計, UIデザイン, UXデザイン, Webデザイン, ディレクション, フロントエンド, マーケティング, リサーチ",1,"Claude Code, Codex, Figma, Next.JS, SendGrid, Shadcn/ui, Tailwind, Vercel",サイトリニューアル,2025年
株式会社スターミュージック・エンタテインメントコーポレートサイトリニューアル,"1. プロジェクト発案に向けて課題整理とビジュアルプロトタイプを作成
2. 競合調査、リサーチ
3. 要件定義、技術選定
4. ブランドアセットの再定義（タイポグラフィやボイスアンドトーンなど）
5. ワイヤーフレーム、情報設計
6. UIコンポーネントデザイン
7. 画面デザイン、プロトタイピング
8. エンジニア選定・アサイン
9. 開発ディレクション、テスト
10. 公開、運用",2:43,"https://starmusic.co.jp
https://www.figma.com/design/8RpyGVQs44xgP5mO37WQUz/%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%83%E3%82%AF%E3%82%B3%E3%83%BC%E3%83%9D%E3%83%AC%E3%83%BC%E3%83%88%E3%82%B5%E3%82%A4%E3%83%88%E3%83%AA%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A2%E3%83%AB?node-id=0-1&t=9tGoMeRGYQUnHeVh-1
https://github.com/starmusicjp/starmusic",1:17,,平均セッション時間,Yes,サイトの回遊性が上がり、直帰率や平均セッション時間が改善。またユーザーイベントが増えエンゲージメントも向上した。また、社外の方からサイトがすごくかっこいいと評価していただくことも多く、ビジュアルとアクセシビリティを両立できたことも良かった。,"所属する株式会社スターミュージック・エンタテインメントのコーポレートサイトリニュアールプロジェクト。
企画からコンテンツ設計、デザイン、開発のディレクッションまで全体的にプロジェクトに携わる。",6ヶ月,事業の多角化に伴う情報提供ができていなかった。画面の情報設計が複雑でユーザーのセッション時間減少、離脱率増加が起こっていた。,"社内メンバーや所属クリエイター、顧客などへヒアリングを行い、自社の魅力の解像度を高めたうえで取り組むことができた。
デザインシステムのデザイントークンをほぼそのまま活用することができ、エンジニアと効率的にコラボレーションできた。
マイクロインタラクション、アニメーションを組み込んだプロトタイプを作成することで、デザインの意思決定がスムーズだった。","ディレクター, デザイナー, リサーチャー","Webデザイン, アクセシビリティ対応, ビジュアルデザイン, ユーザーエンゲージメント, 情報設計, 要件定義","BX, Design Ops, IA設計, UIデザイン, UXデザイン, Webデザイン, ディレクション, リサーチ",2〜3,"Next.JS, Vercel",サイトリニューアル,2024年
デザインシステム「Interstellar」構築,"1. 調査
2. カラーパレットの定義（ブランドカラーのスケール展開→ニュートラルカラー、セカンダリーからの設定とスケール展開）
3. タイプスケールの定義
4. プリミティブトークンの定義
5. セマンティックトークンの定義（カラー、ディメンション）
5. UIコンポーネント作成

以下ポートフォリオサイトから引用
—-
### カラーパレットの定義
最初にカラーパレットの定義に着手しました。株式会社スターミュージック・エンタテインメント（以下スターミュージック）ではブランドカラーの#0A489Dとエキストラカラーの#FBF9F1（ロゴの星の色）のみが定義された状態でした。
まずはブランドカラーの色調展開展開を行いました。スターミュージックには特定のプロダクトはなく、主に業務システムのUIでの利用が中心であったため、基本的にはライトテーマのみで問題ありませんでした。しかし、将来的なダークテーマ対応も視野に入れてカラーパレットを展開したいと考えました。
そこで、AtlassianのDesign Systemのようにシンメトリーに色調を展開し、ひとつのカラースケールでライトテーマとダークテーマ双方に対応できるパレットを採用しました。
次にグレースケールの定義を行いました。グレースケールはブランドカラーの補色をベースの色調として展開し、アクセシビリティ対応のためアルファカラーの定義も追加しました。
最後に、カラフルなパターンを生成する時に使用するExpressive Colorの定義とスケール展開を行いました。Expressive Colorはブランドカラーの色相を起点にカラーホイールを8分割し、そこから色相を選定しました。
カラースケールはそれぞれのレベルでコントラスト比を揃え、色相ごとの同レベルのカラーから受ける印象が統一されるように調整されています。また、0〜500がダークテーマのSurface Color上で、600〜1300がライトテーマのSurface Color上で、WACG2.1で定められるレベルAAのコントラスト比をクリアするように調整しました。

### タイポグラフィの定義
スターミュージックではGoogle Workspaceを契約しており、ドキュメントやスライドもGoog;e製品を利用しています。顧客とのタッチポイントにおいてブランドの一貫性を保つため、タイポグラフィにはGoogle Fontで提供されるフォントから選定の必要がありました。
日本語フォントには、ベーシックなタイプフェイスであり、JIS第一水準の漢字が含まれる「Noto Sans JP」を、等幅フォントにはAndroidでも使われ信頼性の高い「Roboto Mono」を採用しました。
欧文フォントについては、代表から「ボールドが印象的なサンセリフフォント」を望む要望がありました。その結果、日本語フォントとの組み合わせをいくつか検討・提案し、「Inter」を選定しました。
2023年11月には、ディスプレイでの可読性が高い「Inter Display」がリリースされたため、最終的に欧文フォントとして「Inter Display」を使用し、Google Workspaceの代替フォントとして「Inter」を用いることにしました。

### デザイントークンの定義
デザイントークンの定義においては、色、タイポグラフィ、スペーシング、サイズなどのビジュアル要素をコードベースで管理しやすい形式に変換しました。これにより、デザイナーと開発者間のコミュニケーションをスムーズにし、プロダクト全体で一貫性を持たせることが可能となりました。例えば、カラーパレットやタイポグラフィの設定は、Figmaのスタイルガイドとしてまとめるだけでなく、JSON形式でエクスポートし、開発環境にも取り込める形で提供しています。これにより、将来的なスケーラビリティを確保しつつ、デザインと実装のギャップを埋めることができました。

### コンポーネント設計
コンポーネント設計では、Atomic Designの原則に基づき、基本的なUIコンポーネント（ボタン、フォーム要素、カードなど）から、より複雑なコンポーネント（モーダル、ナビゲーションバー、ダッシュボードウィジェットなど）までを包括的に設計しました。各コンポーネントは、再利用性を最大化しつつ、カスタマイズ性を確保するために、Figma上でバリアントとして作成し、異なるステートやサイズに柔軟に対応できるようにしています。
また、全てのコンポーネントにはアクセシビリティガイドラインに沿ったラベル付けやフォーカス状態を定義し、エンドユーザーにとっての利便性と操作性を向上させる工夫をしています。

### ネーミング・想い
スターミュージックはエンタメに関わる複数の事業を展開しています。一つ一つの事業を社名になぞらえて「星」と捉え、それらの間をつなぐデザインシステムでありたいという想いから「Interstellar（意：星と星の間の）」と命名しました。",2,https://www.figma.com/design/3ZJGGvfKv5GnXAPbMEmF2E/Interstellar-Design-System?node-id=1199-1986&t=ajQTTfR8oZlyV6Le-1,4,,作業工数（h）,Yes,デザインシステムの構築で、UIデザインやモックアップ制作、プロトタイピングにかかる工数を大幅に削減することができました。また、ブランドの一貫性を保つという目的もおおむね達成でき、想定通りの成果・価値提供ができた。,"所属する株式会社スターミュージック・エンタテインメントのデザインシステム「Interstellar（インターステラー）」の構築プロジェクト。
クリエイティブやデザインの一貫性を保ちながらブランドを体現する、またデザインプロセスの効率化が目的。
デザインシステムの構築について勉強するために業務外の時間を使った課外ワークとして着手。
デジタルプロダクトのUIだけではなく、Webサイトと共通して使えるトークン設計を行った。",4ヶ月,ブランドカラーは決まっていたもののそれ以外のカラーパレットは定義されておらず個人の裁量に任されており、デザインの一貫性が失われていた。画面デザインやワイヤーフレーム作成の際にをするときに個別に任意のUI Kitを使ったり、コンポーネントを1から作ってたりしていたので、効率が悪く、体験設計にも一貫性がなくなっていた。,"カラーパレットの設計手法やトークン設計を経験できた。またこのプロジェクトで初めてアクセシビリティ対応を経験し、WCAGの目的やスコープ、それを達成するために何が必要なのか知見を得られたのは良かった。

以下は今後の課題とチャレンジ関する記載をポートフォリオより引用
—-
コードとの連携
現在このデザインシステムはFigma上で公開されているのみで、UIライブラリの域を出ていません。今後ジョインしてくれるであろうエンジニアと協力しながら、より広範囲にデザインシステムを浸透させ、デジタル領域の体験向上に努めます。
オンボーディング
現状Foundationなどのドキュメントは用意しておらず、私が所属するデザインチームのみがこのデザインシステムを扱える状態です。今後は設計背景や運用方法をドキュメント化し、どのデザイナーでも扱えるように環境を整備していきたいと思います。
プラットフォームの横断
このデザインシステムはWebベースの技術での利用を想定して構築されています。今後はネイティブアプリへの対応など、OS・デバイスを横断した使用にも耐えうるシステムへアップデートを行いたいと思います。","Design Ops, デザインリード","デザインシステム, ブランディング, 業務効率化","BX, Design Ops, UIデザイン, UXデザイン, デザインシステム",1,Figma,デザインシステム,2023年〜2024年
株式会社スターミュージック・エンタテインメントCulture Deckデザイン,"1. 全体の構成検討
2. レイアウト、コンポーネント作成
3. デザイン制作
4. 写真素材撮影
4. 第一弾公開
5. 市場リサーチ、事業戦略策定サポート
6. 追加コンテンツデザイン
7. 社員インタビュー実施、写真撮影
  - インタビュー記事作成しWantedlyに公開
8. 最新版公開",4.0%,"https://www.figma.com/design/aaqpBxhseM1woZ4axb5xCu/Culture-Deck?node-id=46-10&t=JgquR1aTEcQLnABV-1
https://speakerdeck.com/starmusic/culture-deck-star-music-entertainment-inc",2.7%,,選考エントリー率,No,"カジュアル面談から選考へのエントリー率が改善。また、Wantedlyに公開した社員インタビュー記事からエントリー→内定もあった。
スライドデザインキュレーションサービスのSlidelandにおすすめスライドとしてサイト・Xで取り上げられた。",コーポレートサイトのリニューアルから地続きで行ったブランディング、採用強化を目的とした採用候補者向け資料のデザインプロジェクト。,4ヶ月,カジュアル面談からの選考希望者が少ない。内定辞退者が多い。求職者向けに事業や組織文化を紹介するドキュメントが存在しなかった。,様々な図解を必要とするため、たくさんリファレンスを探して図のデザインの引き出しが増えた。資料作成のときのレイアウトグリッドの設定方法の一つの解を見つけることができた。,"ディレクター, デザイナー, リサーチャー","ブランディング, 採用マーケティング, 採用強化","BX, インタビュー, コミュニケーションデザイン, ディレクション, ライティング, リサーチ, 写真撮影, 採用",2〜3,"Figma, SpeakerDeck",資料デザイン,2024年〜2025年
アジュール音楽教室ブランドアセット作成,,,,,,,No,,,1ヶ月,,,,,,,,,2025年
アジュール音楽教室サイト制作,,,,,,,No,,,,,,,,,,,,
アジュール音楽教室CRM・MAツール設計,,,,,,,No,,,,,,,,,,,,
CRM（kintone）メール拡張機能開発,"1. ユーザーインタビュー
2. 機能リストの洗い出し→エンジニアとすり合わせ
3. 画面設計、Figmaプロトタイプ作成
4, プロトタイプを操作してもらいユーザーフィードバックを受ける
5. UIデザイン
6. UX磨き込み
7. 開発ディレクション
8. テスト
9. 機能リリース　",4,https://www.figma.com/design/etb3SEa5br0akimfF3reVU/kintone%E9%96%8B%E7%99%BA?node-id=246-10&t=FcYV9S9iBLfWlk1s-1,14,,操作ミス発生件数,No,ユーザー（社員）から体験改善の報告多数。送付ミスも少なくなった。,株式会社トヨクモが提供するkintone用の拡張機能「kmailer」に代わるメール配信プラグインの開発プロジェクト,2ヶ月,kmailerではファイル添付ができない担当者のアドレスから送信できないなどの不足機能あり。重要な設定が別画面に隠れていたり、プレビューが次画面にあるなどミスが発生しやすい設計だった。,,"ディレクター, デザイナー, リサーチャー","情報設計, 機能拡充","IA設計, UIデザイン, UXデザイン, ディレクション, リサーチ",2,"Figma, SendGrid",機能開発,2024年
Designship スタッフ,"- バナーやアイキャッチのデザイン
- ノベルティのデザイン
  - ノート
  - ピンバッジ
  - ステッカー
  - スカーフ
  - トートバッグ
  - ボールペン
- 開場装飾のデザイン
- 参加者パスのデザイン
- 印刷物全般のデザイン
- サインデザイン
- VIデザイン
- スタッフ衣装のデザイン
- タスク管理などのチームマネジメント
- SNS運用
- 公式LINE運用
- 当日受付などの雑務",,,,,,Yes,Designship 2023ではBrand Teamのリーダーを経験、コロナ禍以降初のオフライン開催となったカンファレンスの成功に寄与。,日本最大級のデザインカンファレンス「Designship」のカンファレンススタッフとして2022年より参加。役割ごとにチームが分かれており2022年〜2024年はカンファレンスに関わるあらゆる制作物のデザインを担当する「Brand Team」、2025年は参加者とのコミュニケーション設計からSNSなどの運用、CSなどを担う「Communication Team」に所属。,年に6ヶ月程度,,（自身の課題）2022年当時は社内にデザイナーが一人しかおらず、学ぶ環境を求めてコミュニティ参加を決断。Designshipのコミュニティに参加して、他社のデザイナーとのつながりもできたし、一人で模索しながらやっていたデザイン業務が間違っていなかったことも確認できて良かった。,"カスタマーサクセス, デザイナー",,"BX, Webデザイン, コミュニケーションデザイン",5〜6,"Adobe Illustrator, FigJam, Figma",カンファレンススタッフ,2022年〜2025年
NEONMAFIA株式会社リブランディング,"マーケットリサーチ、競合調査の結果、他のクリエイティブ制作会社と比べインフルエンサーを活用したマーケティングが強みであることがわかりました。また、包括的にクリエイティブを提供するという強みを活かすため、ブランドの方向性を「動画制作に強い制作会社」から「ブランディングを軸としたクリエイティブブティック」へと転換。クライアントが付加価値を感じられるようなコピーライティング、サービス資料のデザインを制作しました
Webサイトはインバウンドマーケティングツール + ポートフォリオとして機能するように、ユーザーがランディング→実績→問い合わせまでスムーズに回遊できるような設計、実績がより魅力的に見えるようなビジュアルデザインを心がけました。",,,,,,No,,所属会社の関連企業で動画を中心としたクリエイティブ制作を手掛けるNEONMAFIA株式会社の事業戦略策定・ブランドサイトデザインを行うプロジェクト。,3ヶ月,NEONMAFIA株式会社では動画以外にもブランディングコンサルティングやWebサイト制作、イベント企画・制作などクリエイティブに関わるサービスを包括的に提供していましたが、動画制作会社としての認知が強く、新たな販路開拓に課題を持っていました。,,"ディレクター, デザイナー, リサーチャー","Webデザイン, ビジュアルデザイン, リブランディング, 情報設計, 要件定義","BX, IA設計, UIデザイン, UXデザイン, Webデザイン, アートディレクション, コミュニケーションデザイン, ディレクション, ライティング, リサーチ",2〜3,Adobe XD,リブランディング,2021年
